MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,logSP
20,RL,0.0,0.36104418830699786,Pave,<None>,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,1.248324167743439,TA,TA,CBlock,TA,TA,No,BLQ,0.8262870876273746,Unf,-0.359662323183478,0.14235412077984022,1253,GasA,TA,Y,SBrkr,0.40647321681628845,-0.8700861079650746,0,-0.4117733581091764,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,0.14593296232142441,RFn,1,352,TA,TA,Y,-0.9490260588204544,1.4380714548518034,2.4538489350022914,0,-0.2940036598327685,0,<None>,GdWo,<None>,0,5,2008,WD,Normal,11.964007453736912
45,RM,51.0,-0.762924462342098,Pave,<None>,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,<None>,-0.8171343254785851,TA,TA,BrkTil,TA,TA,No,Unf,-1.3528794995691213,Unf,-0.359662323183478,0.718062006667496,832,GasA,Ex,Y,FuseA,-0.8135272190802587,-0.8700861079650746,0,-1.546892599325244,0,0,1,0,2,1,TA,5,Typ,0,<None>,Detchd,0.3039985022010464,Unf,2,576,TA,TA,Y,0.6319301024996518,1.131410683313287,-0.4079206211052366,0,-0.2940036598327685,0,<None>,GdPrv,<None>,0,7,2007,WD,Normal,11.790564777297387
20,RL,0.0,0.4179794803098857,Pave,<None>,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,1.2175357732974041,TA,TA,CBlock,TA,TA,No,ALQ,0.6778722763921156,Unf,-0.359662323183478,-0.0658531872106796,1004,GasA,Ex,Y,SBrkr,-0.2981872568170224,-0.8700861079650746,0,-1.071499920990212,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,0.19656047650681935,Fin,2,480,TA,TA,Y,-0.9490260588204544,-1.0703598828507335,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,Shed,700,3,2010,WD,Normal,11.91170829631447
90,RL,72.0,0.33771013864732197,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,<None>,-0.8171343254785851,TA,TA,Slab,<None>,<None>,<None>,<None>,-1.3528794995691213,<None>,-0.359662323183478,-2.0634069800126906,0,GasA,TA,Y,SBrkr,0.5136990999341039,-0.8700861079650746,0,-0.3103921538013947,0,0,2,0,2,2,TA,6,Typ,0,<None>,CarPort,0.1813361342869544,Unf,2,516,TA,TA,Y,-0.9490260588204544,-1.0703598828507335,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,Shed,500,10,2006,WD,Normal,11.407576060361786
20,RL,66.0,0.8078220281115869,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,<None>,-0.8171343254785851,TA,TA,PConc,TA,TA,No,GLQ,0.7463397516726922,Unf,-0.359662323183478,0.029895403247190568,1114,GasA,Ex,Y,SBrkr,0.03261827286814725,-0.8700861079650746,0,-0.7631931108082898,1,0,1,1,3,1,Gd,6,Typ,0,<None>,Detchd,0.37127023819480204,Unf,2,576,TA,TA,Y,-0.9490260588204544,1.0871003007389008,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,6,2008,WD,Normal,11.976665770490769
20,RL,70.0,-0.3558127398249595,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,<None>,-0.8171343254785851,TA,TA,CBlock,TA,TA,No,LwQ,0.5959324475430058,Unf,-0.359662323183478,0.15284797731460045,1029,GasA,TA,Y,SBrkr,0.6174008297561722,-0.8700861079650746,0,-0.21209152571981543,0,0,1,0,3,1,TA,6,Min1,0,<None>,Attchd,0.13584868181329557,Unf,1,294,TA,TA,Y,-0.9490260588204544,-1.0703598828507335,-0.4079206211052366,0,-0.2940036598327685,0,<None>,MnPrv,<None>,0,5,2009,COD,Abnorml,11.842236406331557
60,RL,101.0,0.8817477958007779,Pave,<None>,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.3487504995004078,Gd,TA,PConc,Ex,TA,Av,Unf,-1.3528794995691213,Unf,-0.359662323183478,1.2066625671442652,1158,GasA,Ex,Y,SBrkr,0.15581605378393398,1.2380430191766767,0,1.552257903666967,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,0.37646918544354163,RFn,3,853,TA,TA,Y,1.1496264963309835,1.2828969152394243,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,11,2006,New,Partial,12.692506186542175
45,RM,57.0,-0.3844241108593053,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,<None>,-0.8171343254785851,TA,TA,PConc,TA,TA,No,Unf,-1.3528794995691213,Unf,-0.359662323183478,0.3753746337390607,637,GasA,Ex,Y,FuseF,0.015440059608171982,-0.8700861079650746,0,-0.7792639643674804,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,-0.0038917499170626926,Unf,1,280,TA,TA,N,-0.9490260588204544,-1.0703598828507335,2.4542089541828016,0,-0.2940036598327685,0,<None>,GdPrv,<None>,0,6,2007,WD,Normal,11.84510995088398
20,RL,75.0,0.1373691310516415,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,1.2985822895917358,Gd,TA,PConc,Gd,TA,No,Unf,-1.3528794995691213,Unf,-0.359662323183478,1.9639616974651384,1777,GasA,Ex,Y,SBrkr,1.5474823780316453,-0.8700861079650746,0,0.6807162162415867,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,0.3608827207642794,RFn,2,534,TA,TA,Y,1.04545367714877,1.2981453415427444,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,9,2008,WD,Normal,12.345838935721968
120,RM,44.0,-1.4688677870326685,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,<None>,-0.8171343254785851,TA,TA,PConc,Gd,TA,No,GLQ,0.9151686323125459,Unf,-0.359662323183478,-0.699025156688069,1040,GasA,TA,Y,SBrkr,-0.12545511945674684,-0.8700861079650746,0,-0.9108242069234033,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,0.22710204267580952,Unf,2,572,TA,TA,Y,0.8751970031770026,1.1228673349073812,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,6,2007,WD,Normal,11.774527900858468
20,RL,0.0,-0.18745535699411,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,<None>,-0.8171343254785851,TA,Gd,CBlock,TA,TA,Mn,Rec,0.0772521263280619,ALQ,2.7815117399410694,-0.6851662246580623,1060,GasA,Ex,Y,SBrkr,-0.12545511945674684,-0.8700861079650746,0,-0.9108242069234033,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,0.18640747651934528,Unf,1,270,TA,TA,Y,1.30598124200967,1.0279380368474131,-0.4079206211052366,0,-0.2940036598327685,0,<None>,MnPrv,<None>,0,5,2010,WD,Normal,11.944714374881176
20,RL,110.0,0.8838415478171017,Pave,<None>,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,1.427185212003445,Gd,TA,PConc,Gd,TA,No,Unf,-1.3528794995691213,Unf,-0.359662323183478,1.7243247388521072,1566,GasA,Ex,Y,SBrkr,1.1827611664355362,-0.8700861079650746,0,0.32820224035450174,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,0.3868774598931175,RFn,3,890,TA,TA,Y,-0.9490260588204544,0.8052596619946917,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,7,2009,WD,Normal,12.454107814022272
20,RL,60.0,-0.4501235966558077,Pave,<None>,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,<None>,-0.8171343254785851,TA,TA,CBlock,TA,TA,Mn,BLQ,0.18229583160056254,Rec,2.781412543789305,-0.770615974942961,900,GasA,TA,Y,SBrkr,-0.6463845484994866,-0.8700861079650746,0,-1.393356009677825,0,1,1,0,3,1,Gd,5,Typ,0,<None>,Detchd,0.37646918544354163,Unf,2,576,TA,TA,Y,1.1259014851827458,0.5466088609485048,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,5,2010,WD,Normal,11.811554895830454
20,RL,98.0,0.45902350312784396,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,1.2374986385076836,Gd,TA,PConc,Ex,TA,No,GLQ,1.1722852109308364,Unf,-0.359662323183478,0.06953710271600985,1704,GasA,Ex,Y,SBrkr,1.3825196877634822,-0.8700861079650746,0,0.5208871750325021,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,0.39208678824743604,RFn,3,772,TA,TA,Y,-0.9490260588204544,0.7524911020959397,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,5,2010,WD,Normal,12.631343648903034
20,RL,47.0,1.1567810743407883,Pave,<None>,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,<None>,-0.8171343254785851,TA,TA,CBlock,TA,TA,Gd,BLQ,1.2066330393353006,Unf,-0.359662323183478,-0.674865682898272,1484,GasA,TA,Y,SBrkr,1.1827611664355362,-0.8700861079650746,0,0.32820224035450174,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,0.13081169054485128,RFn,1,319,TA,TA,Y,1.2045657677939603,1.5301577643538626,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,12,2006,WD,Normal,12.242891437918386
30,RM,60.0,-0.699980165183215,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,<None>,-0.8171343254785851,TA,TA,BrkTil,TA,TA,No,Unf,-1.3528794995691213,Unf,-0.359662323183478,0.14235412077984022,520,GasA,Fa,N,SBrkr,-2.3968067567497955,-0.8700861079650746,0,-2.9709134060597058,0,0,1,0,1,1,Fa,4,Typ,0,<None>,Detchd,-0.05314933961505833,Unf,1,240,Fa,TA,Y,0.6389180146236955,-1.0703598828507335,2.450699098787329,0,-0.2940036598327685,0,<None>,<None>,<None>,0,5,2008,WD,Normal,11.134603622683905
70,C (all),50.0,-0.12851030781595899,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,<None>,-0.8171343254785851,TA,Fa,BrkTil,TA,TA,No,Unf,-1.3528794995691213,Unf,-0.359662323183478,0.3979452574740343,649,GasA,TA,N,SBrkr,-1.6889702318977289,1.1249494364015447,0,-0.26201208542330445,0,0,1,0,3,1,TA,6,Typ,0,<None>,Detchd,-0.05314933961505833,Unf,1,250,TA,Fa,N,-0.9490260588204544,0.7883066779822384,2.4537876660033042,0,-0.2940036598327685,0,<None>,MnPrv,<None>,0,7,2008,WD,Normal,10.59665973278358
20,RL,0.0,-0.1184713919186864,Pave,<None>,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,<None>,-0.8171343254785851,TA,TA,CBlock,TA,TA,No,Unf,-1.3528794995691213,Unf,-0.359662323183478,1.3016426706950484,1228,GasA,Gd,Y,SBrkr,0.3424158856095187,-0.8700861079650746,0,-0.47221320927205973,0,0,1,1,3,1,Gd,6,Typ,0,<None>,Attchd,0.17626822978322906,Unf,1,271,TA,TA,Y,-0.9490260588204544,0.8749151811058725,-0.4079206211052366,0,-0.2940036598327685,0,<None>,MnPrv,<None>,0,6,2008,WD,Normal,11.914054519303123
20,RL,85.0,0.3841152690203671,Pave,<None>,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,<None>,-0.8171343254785851,Gd,TA,PConc,Ex,TA,Av,Unf,-1.3528794995691213,Unf,-0.359662323183478,1.3096490495302597,1234,GasA,Ex,Y,SBrkr,0.3579086138579702,-0.8700861079650746,0,-0.45760401196365436,0,0,2,0,3,1,Gd,7,Typ,0,<None>,Attchd,0.3868774598931175,RFn,2,484,TA,TA,Y,-0.9490260588204544,0.5171242302436534,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,1,2008,WD,Normal,12.100161978566868
20,RL,70.0,0.2937627221124548,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,<None>,-0.8171343254785851,TA,TA,CBlock,TA,TA,No,Rec,1.0454027087348392,Unf,-0.359662323183478,-0.17663256805114289,1398,GasA,Gd,Y,SBrkr,1.3750664433181445,-0.8700861079650746,0,0.5136810195459333,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,0.14088910554348433,RFn,2,447,TA,TA,Y,-0.9490260588204544,0.625495248102908,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,4,2010,WD,Normal,12.016732516077072
120,RL,60.0,-0.42004233337436364,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,1.275280592358237,Ex,TA,PConc,Ex,TA,No,GLQ,1.1329303288048256,Unf,-0.359662323183478,-0.10841127266006362,1561,GasA,Ex,Y,SBrkr,1.1044604139006144,-0.8700861079650746,0,0.2529292920593917,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,0.37646918544354163,Fin,2,556,TA,TA,Y,1.0985017121781908,0.7237573598958872,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,8,2007,WD,Normal,12.533579815765735
