MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,logSP,Age,Garage_Age,RemodAge,KMeansCluster
20,RL,70.0,0.4107949081792972,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,<None>,-0.8171343254785851,TA,TA,CBlock,TA,TA,No,Rec,0.9657318112399376,Unf,-0.359662323183478,-0.9531166298111362,1040,GasA,Ex,Y,SBrkr,-0.1860673638875418,-0.8700861079650746,0,-0.9672824684496792,1,0,1,0,3,1,TA,5,Typ,0,<None>,Detchd,0.1712037624237487,Unf,1,384,TA,TA,Y,-0.9490260588204544,-1.0703598828507337,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,2,2008,WD,Normal,11.771443882099636,43,2007.8287962375762,43,0
60,RL,85.0,0.5341044503756824,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,1.3016159385585049,Ex,TA,PConc,Ex,TA,No,GLQ,1.0316876860804731,Unf,-0.359662323183478,-0.7817093162673006,1175,GasA,Ex,Y,SBrkr,0.2210429425705404,1.2263236481068296,0,1.482858066781086,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,0.3764691854435416,Fin,3,736,TA,TA,Y,0.9981259075998016,0.3557661255314398,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,7,2006,New,Partial,12.75130259456002,1,2005.6235308145565,0,1
20,RL,0.0,0.6998215420926923,Pave,<None>,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,<None>,-0.8171343254785851,TA,TA,CBlock,TA,TA,No,ALQ,0.8297835703190294,Unf,-0.359662323183478,-0.7891599292382808,912,GasA,TA,Y,SBrkr,-0.6041959798510146,-0.8700861079650746,0,-1.3545034245879002,1,0,1,0,2,1,TA,4,Typ,0,<None>,Detchd,0.1560309773635954,Unf,1,352,TA,TA,Y,0.9827450929338594,-1.0703598828507337,-0.4079206211052366,0,3.401329933747307,0,<None>,<None>,<None>,0,9,2008,WD,Normal,11.87757552297847,46,2007.8439690226364,46,0
20,RL,91.0,0.3122657929730544,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,1.313123077264481,Gd,TA,PConc,Gd,TA,Av,Unf,-1.3528794995691211,Unf,-0.359662323183478,1.6386767578930657,1494,GasA,Ex,Y,SBrkr,0.96522734615233,-0.8700861079650746,0,0.1194338001197015,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,0.3816715924840345,RFn,3,840,TA,TA,Y,1.0247103756924312,0.5606949782031171,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,8,2007,New,Partial,12.54076114938842,1,2006.618328407516,0,1
20,RL,0.0,0.3610441883069978,Pave,<None>,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,1.248324167743439,TA,TA,CBlock,TA,TA,No,BLQ,0.8262870876273746,Unf,-0.359662323183478,0.1423541207798402,1253,GasA,TA,Y,SBrkr,0.4064732168162884,-0.8700861079650746,0,-0.4117733581091764,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,0.1459329623214244,RFn,1,352,TA,TA,Y,-0.9490260588204544,1.4380714548518034,2.4538489350022914,0,-0.2940036598327685,0,<None>,GdWo,<None>,0,5,2008,WD,Normal,11.964007453736912,48,2007.8540670376785,48,3
45,RM,51.0,-0.762924462342098,Pave,<None>,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,<None>,-0.8171343254785851,TA,TA,BrkTil,TA,TA,No,Unf,-1.3528794995691211,Unf,-0.359662323183478,0.718062006667496,832,GasA,Ex,Y,FuseA,-0.8135272190802587,-0.8700861079650746,0,-1.546892599325244,0,0,1,0,2,1,TA,5,Typ,0,<None>,Detchd,0.3039985022010464,Unf,2,576,TA,TA,Y,0.6319301024996518,1.131410683313287,-0.4079206211052366,0,-0.2940036598327685,0,<None>,GdPrv,<None>,0,7,2007,WD,Normal,11.790564777297387,78,2006.696001497799,6,0
20,RL,0.0,0.4179794803098857,Pave,<None>,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,1.217535773297404,TA,TA,CBlock,TA,TA,No,ALQ,0.6778722763921156,Unf,-0.359662323183478,-0.0658531872106796,1004,GasA,Ex,Y,SBrkr,-0.2981872568170224,-0.8700861079650746,0,-1.071499920990212,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,0.1965604765068193,Fin,2,480,TA,TA,Y,-0.9490260588204544,-1.0703598828507337,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,Shed,700,3,2010,WD,Normal,11.91170829631447,40,2009.8034395234931,40,2
90,RL,72.0,0.3377101386473219,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,<None>,-0.8171343254785851,TA,TA,Slab,<None>,<None>,<None>,<None>,-1.3528794995691211,<None>,-0.359662323183478,-2.06340698001269,0,GasA,TA,Y,SBrkr,0.5136990999341039,-0.8700861079650746,0,-0.3103921538013947,0,0,2,0,2,2,TA,6,Typ,0,<None>,CarPort,0.1813361342869544,Unf,2,516,TA,TA,Y,-0.9490260588204544,-1.0703598828507337,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,Shed,500,10,2006,WD,Normal,11.407576060361786,39,2005.818663865713,39,0
20,RL,66.0,0.8078220281115869,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,<None>,-0.8171343254785851,TA,TA,PConc,TA,TA,No,GLQ,0.7463397516726922,Unf,-0.359662323183478,0.0298954032471905,1114,GasA,Ex,Y,SBrkr,0.0326182728681472,-0.8700861079650746,0,-0.7631931108082898,1,0,1,1,3,1,Gd,6,Typ,0,<None>,Detchd,0.371270238194802,Unf,2,576,TA,TA,Y,-0.9490260588204544,1.0871003007389008,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,6,2008,WD,Normal,11.976665770490769,4,2007.6287297618053,4,2
20,RL,70.0,-0.3558127398249595,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,<None>,-0.8171343254785851,TA,TA,CBlock,TA,TA,No,LwQ,0.5959324475430058,Unf,-0.359662323183478,0.1528479773146004,1029,GasA,TA,Y,SBrkr,0.6174008297561722,-0.8700861079650746,0,-0.2120915257198154,0,0,1,0,3,1,TA,6,Min1,0,<None>,Attchd,0.1358486818132955,Unf,1,294,TA,TA,Y,-0.9490260588204544,-1.0703598828507337,-0.4079206211052366,0,-0.2940036598327685,0,<None>,MnPrv,<None>,0,5,2009,COD,Abnorml,11.842236406331557,51,2008.8641513181867,44,3
60,RL,101.0,0.8817477958007779,Pave,<None>,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.3487504995004078,Gd,TA,PConc,Ex,TA,Av,Unf,-1.3528794995691211,Unf,-0.359662323183478,1.2066625671442652,1158,GasA,Ex,Y,SBrkr,0.1558160537839339,1.2380430191766767,0,1.552257903666967,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,0.3764691854435416,RFn,3,853,TA,TA,Y,1.1496264963309837,1.2828969152394245,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,11,2006,New,Partial,12.692506186542175,1,2005.6235308145565,0,1
45,RM,57.0,-0.3844241108593053,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,<None>,-0.8171343254785851,TA,TA,PConc,TA,TA,No,Unf,-1.3528794995691211,Unf,-0.359662323183478,0.3753746337390607,637,GasA,Ex,Y,FuseF,0.0154400596081719,-0.8700861079650746,0,-0.7792639643674804,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,-0.0038917499170626,Unf,1,280,TA,TA,N,-0.9490260588204544,-1.0703598828507337,2.4542089541828016,0,-0.2940036598327685,0,<None>,GdPrv,<None>,0,6,2007,WD,Normal,11.84510995088398,77,2007.003891749917,57,0
20,RL,75.0,0.1373691310516415,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,1.2985822895917358,Gd,TA,PConc,Gd,TA,No,Unf,-1.3528794995691211,Unf,-0.359662323183478,1.9639616974651384,1777,GasA,Ex,Y,SBrkr,1.5474823780316451,-0.8700861079650746,0,0.6807162162415867,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,0.3608827207642794,RFn,2,534,TA,TA,Y,1.04545367714877,1.2981453415427444,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,9,2008,WD,Normal,12.345838935721968,6,2007.6391172792357,6,1
120,RM,44.0,-1.4688677870326683,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,<None>,-0.8171343254785851,TA,TA,PConc,Gd,TA,No,GLQ,0.915168632312546,Unf,-0.359662323183478,-0.699025156688069,1040,GasA,TA,Y,SBrkr,-0.1254551194567468,-0.8700861079650746,0,-0.9108242069234032,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,0.2271020426758095,Unf,2,572,TA,TA,Y,0.8751970031770026,1.1228673349073812,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,6,2007,WD,Normal,11.774527900858468,31,2006.7728979573242,31,2
20,RL,0.0,-0.18745535699411,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,<None>,-0.8171343254785851,TA,Gd,CBlock,TA,TA,Mn,Rec,0.0772521263280619,ALQ,2.7815117399410694,-0.6851662246580623,1060,GasA,Ex,Y,SBrkr,-0.1254551194567468,-0.8700861079650746,0,-0.9108242069234032,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,0.1864074765193452,Unf,1,270,TA,TA,Y,1.30598124200967,1.0279380368474131,-0.4079206211052366,0,-0.2940036598327685,0,<None>,MnPrv,<None>,0,5,2010,WD,Normal,11.944714374881176,42,2009.8135925234806,9,0
20,RL,110.0,0.8838415478171017,Pave,<None>,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,1.427185212003445,Gd,TA,PConc,Gd,TA,No,Unf,-1.3528794995691211,Unf,-0.359662323183478,1.7243247388521072,1566,GasA,Ex,Y,SBrkr,1.1827611664355362,-0.8700861079650746,0,0.3282022403545017,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,0.3868774598931175,RFn,3,890,TA,TA,Y,-0.9490260588204544,0.8052596619946917,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,7,2009,WD,Normal,12.454107814022272,2,2008.6131225401068,2,1
20,RL,60.0,-0.4501235966558077,Pave,<None>,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,<None>,-0.8171343254785851,TA,TA,CBlock,TA,TA,Mn,BLQ,0.1822958316005625,Rec,2.781412543789305,-0.770615974942961,900,GasA,TA,Y,SBrkr,-0.6463845484994866,-0.8700861079650746,0,-1.393356009677825,0,1,1,0,3,1,Gd,5,Typ,0,<None>,Detchd,0.3764691854435416,Unf,2,576,TA,TA,Y,1.1259014851827458,0.5466088609485048,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,5,2010,WD,Normal,11.811554895830454,59,2009.6235308145565,10,0
20,RL,98.0,0.4590235031278439,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,1.2374986385076836,Gd,TA,PConc,Ex,TA,No,GLQ,1.1722852109308364,Unf,-0.359662323183478,0.0695371027160098,1704,GasA,Ex,Y,SBrkr,1.3825196877634822,-0.8700861079650746,0,0.5208871750325021,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,0.392086788247436,RFn,3,772,TA,TA,Y,-0.9490260588204544,0.7524911020959397,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,5,2010,WD,Normal,12.631343648903034,3,2009.6079132117525,2,1
20,RL,47.0,1.1567810743407885,Pave,<None>,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,<None>,-0.8171343254785851,TA,TA,CBlock,TA,TA,Gd,BLQ,1.2066330393353006,Unf,-0.359662323183478,-0.674865682898272,1484,GasA,TA,Y,SBrkr,1.1827611664355362,-0.8700861079650746,0,0.3282022403545017,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,0.1308116905448512,RFn,1,319,TA,TA,Y,1.2045657677939603,1.5301577643538626,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,12,2006,WD,Normal,12.242891437918386,49,2005.8691883094552,9,3
30,RM,60.0,-0.699980165183215,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,<None>,-0.8171343254785851,TA,TA,BrkTil,TA,TA,No,Unf,-1.3528794995691211,Unf,-0.359662323183478,0.1423541207798402,520,GasA,Fa,N,SBrkr,-2.3968067567497955,-0.8700861079650746,0,-2.9709134060597058,0,0,1,0,1,1,Fa,4,Typ,0,<None>,Detchd,-0.0531493396150583,Unf,1,240,Fa,TA,Y,0.6389180146236955,-1.0703598828507337,2.450699098787329,0,-0.2940036598327685,0,<None>,<None>,<None>,0,5,2008,WD,Normal,11.134603622683905,81,2008.053149339615,58,0
70,C (all),50.0,-0.1285103078159589,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,<None>,-0.8171343254785851,TA,Fa,BrkTil,TA,TA,No,Unf,-1.3528794995691211,Unf,-0.359662323183478,0.3979452574740343,649,GasA,TA,N,SBrkr,-1.6889702318977289,1.1249494364015449,0,-0.2620120854233044,0,0,1,0,3,1,TA,6,Typ,0,<None>,Detchd,-0.0531493396150583,Unf,1,250,TA,Fa,N,-0.9490260588204544,0.7883066779822384,2.453787666003304,0,-0.2940036598327685,0,<None>,MnPrv,<None>,0,7,2008,WD,Normal,10.59665973278358,88,2008.053149339615,58,0
20,RL,0.0,-0.1184713919186864,Pave,<None>,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,<None>,-0.8171343254785851,TA,TA,CBlock,TA,TA,No,Unf,-1.3528794995691211,Unf,-0.359662323183478,1.3016426706950484,1228,GasA,Gd,Y,SBrkr,0.3424158856095187,-0.8700861079650746,0,-0.4722132092720597,0,0,1,1,3,1,Gd,6,Typ,0,<None>,Attchd,0.176268229783229,Unf,1,271,TA,TA,Y,-0.9490260588204544,0.8749151811058725,-0.4079206211052366,0,-0.2940036598327685,0,<None>,MnPrv,<None>,0,6,2008,WD,Normal,11.914054519303123,42,2007.8237317702167,2,3
20,RL,85.0,0.3841152690203671,Pave,<None>,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,<None>,-0.8171343254785851,Gd,TA,PConc,Ex,TA,Av,Unf,-1.3528794995691211,Unf,-0.359662323183478,1.3096490495302595,1234,GasA,Ex,Y,SBrkr,0.3579086138579702,-0.8700861079650746,0,-0.4576040119636543,0,0,2,0,3,1,Gd,7,Typ,0,<None>,Attchd,0.3868774598931175,RFn,2,484,TA,TA,Y,-0.9490260588204544,0.5171242302436534,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,1,2008,WD,Normal,12.100161978566868,1,2007.6131225401068,1,2
20,RL,70.0,0.2937627221124548,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,<None>,-0.8171343254785851,TA,TA,CBlock,TA,TA,No,Rec,1.0454027087348392,Unf,-0.359662323183478,-0.1766325680511428,1398,GasA,Gd,Y,SBrkr,1.3750664433181443,-0.8700861079650746,0,0.5136810195459333,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,0.1408891055434843,RFn,2,447,TA,TA,Y,-0.9490260588204544,0.625495248102908,-0.4079206211052366,0,-0.2940036598327685,0,<None>,<None>,<None>,0,4,2010,WD,Normal,12.016732516077072,51,2009.8591108944565,51,3
