,type,unique_values
Foundation,categorical,"['PConc', 'CBlock', 'BrkTil', 'Wood', 'Slab', 'Stone']"
BsmtQual,categorical,"['Gd', 'TA', 'Ex', '<None>', 'Fa']"
BsmtCond,categorical,"['TA', 'Gd', '<None>', 'Fa', 'Po']"
BsmtExposure,categorical,"['No', 'Gd', 'Mn', 'Av', '<None>']"
BsmtFinType1,categorical,"['GLQ', 'ALQ', 'Unf', 'Rec', 'BLQ', '<None>', 'LwQ']"
BsmtFinSF1,numeric (continuous),637 unique values
BsmtFinType2,categorical,"['Unf', 'BLQ', '<None>', 'ALQ', 'Rec', 'LwQ', 'GLQ']"
BsmtFinSF2,numeric (continuous),144 unique values
BsmtUnfSF,numeric (continuous),780 unique values
TotalBsmtSF,numeric (continuous),721 unique values
Heating,categorical,"['GasA', 'GasW', 'Grav', 'Wall', 'OthW', 'Floor']"
HeatingQC,categorical,"['Ex', 'Gd', 'TA', 'Fa', 'Po']"
CentralAir,categorical,"['Y', 'N']"
Electrical,categorical,"['SBrkr', 'FuseF', 'FuseA', 'FuseP', 'Mix', '<None>']"
1stFlrSF,numeric (continuous),753 unique values
2ndFlrSF,numeric (continuous),417 unique values
LowQualFinSF,numeric (continuous),24 unique values
GrLivArea,numeric (continuous),861 unique values
BsmtFullBath,numeric (discrete),"[np.int64(0), np.int64(1), np.int64(2), np.int64(3)]"
BsmtHalfBath,numeric (discrete),"[np.int64(0), np.int64(1), np.int64(2)]"
FullBath,numeric (discrete),"[np.int64(0), np.int64(1), np.int64(2), np.int64(3)]"
HalfBath,numeric (discrete),"[np.int64(0), np.int64(1), np.int64(2)]"
BedroomAbvGr,numeric (discrete),"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(8)]"
KitchenAbvGr,numeric (discrete),"[np.int64(0), np.int64(1), np.int64(2), np.int64(3)]"
KitchenQual,categorical,"['Gd', 'TA', 'Ex', 'Fa']"
TotRmsAbvGrd,numeric (discrete),"[np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(14)]"
Functional,categorical,"['Typ', 'Min1', 'Maj1', 'Min2', 'Mod', 'Maj2', 'Sev']"
Fireplaces,numeric (discrete),"[np.int64(0), np.int64(1), np.int64(2), np.int64(3)]"
FireplaceQu,categorical,"['<None>', 'TA', 'Gd', 'Fa', 'Ex', 'Po']"
GarageType,categorical,"['Attchd', 'Detchd', 'BuiltIn', 'CarPort', '<None>', 'Basment', '2Types']"
GarageYrBlt,numeric (continuous),98 unique values
GarageFinish,categorical,"['RFn', 'Unf', 'Fin', '<None>']"
GarageCars,numeric (discrete),"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4)]"
GarageArea,numeric (continuous),441 unique values
GarageQual,categorical,"['TA', 'Fa', 'Gd', '<None>', 'Ex', 'Po']"
GarageCond,categorical,"['TA', 'Fa', '<None>', 'Gd', 'Po', 'Ex']"
PavedDrive,categorical,"['Y', 'N', 'P']"
WoodDeckSF,numeric (continuous),274 unique values
OpenPorchSF,numeric (continuous),202 unique values
EnclosedPorch,numeric (continuous),120 unique values
3SsnPorch,numeric (continuous),20 unique values
ScreenPorch,numeric (continuous),76 unique values
PoolArea,numeric (discrete),"[np.int64(0), np.int64(480), np.int64(512), np.int64(519), np.int64(555), np.int64(576), np.int64(648), np.int64(738)]"
PoolQC,categorical,"['<None>', 'Ex', 'Fa', 'Gd']"
Fence,categorical,"['<None>', 'MnPrv', 'GdWo', 'GdPrv', 'MnWw']"
MiscFeature,categorical,"['<None>', 'Shed', 'Gar2', 'Othr', 'TenC']"
MiscVal,numeric (continuous),21 unique values
MoSold,numeric (discrete),"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)]"
YrSold,numeric (discrete),"[np.int64(2006), np.int64(2007), np.int64(2008), np.int64(2009), np.int64(2010)]"
SaleType,categorical,"['WD', 'New', 'COD', 'ConLD', 'ConLI', 'CWD', 'ConLw', 'Con', 'Oth']"
SaleCondition,categorical,"['Normal', 'Abnorml', 'Partial', 'AdjLand', 'Alloca', 'Family']"
SalePrice,numeric (continuous),663 unique values
