MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Age,Garage_Age,RemodAge,TotalSF,TotalBath,TotalPorchSF,logSP
20,RL,70.0,9.32375833901174,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,-0.8171343255986645,TA,TA,CBlock,TA,TA,No,Rec,0.9657318205461118,Unf,-0.3596623231834907,-0.9531166294049045,1040,GasA,Ex,Y,SBrkr,-0.18606736778542185,-0.8700861080477102,0,-0.9672824681035477,1,0,1,0,3,1,TA,5,Typ,0,<None>,Detchd,0.17120376020808561,Unf,1,384,TA,TA,Y,-0.9490260586845501,-1.0703598832348913,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,2,2008,WD,Normal,43,0.46241814043780827,43,-0.5655044933516225,2.0,-1.7028482440615262,11.771443882099636
60,RL,85.0,9.386392315756542,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,1.3016159376765264,Ex,TA,PConc,Ex,TA,No,GLQ,1.031687699206494,Unf,-0.3596623231834907,-0.7817093157815044,1175,GasA,Ex,Y,SBrkr,0.22104293872630465,1.2263236446196861,0,1.4828580615427005,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,0.3764691893871889,Fin,3,736,TA,TA,Y,0.9981259069151318,0.3557661281027301,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,7,2006,New,Partial,1,-1.5729704126478672,0,1.200535154653603,4.0,0.23579889610686908,12.75130259456002
20,RL,0.0,9.470317173335742,Pave,<None>,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,-0.8171343255986645,TA,TA,CBlock,TA,TA,No,ALQ,0.8297835722023543,Unf,-0.3596623231834907,-0.7891599287551972,912,GasA,TA,Y,SBrkr,-0.6041959824106669,-0.8700861080477102,0,-1.3545034281547998,1,0,1,0,2,1,TA,4,Typ,0,<None>,Detchd,0.15603097470433722,Unf,1,352,TA,TA,Y,0.982745092114137,-1.0703598832348913,-0.40792062110509075,0,3.401329933749769,0,<None>,<None>,<None>,0,9,2008,WD,Normal,46,0.5008650660765808,46,-0.9620193587589945,2.0,0.9006955308590165,11.87757552297847
20,RL,91.0,9.273596821611198,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,1.3131230761946473,Gd,TA,PConc,Gd,TA,Av,Unf,-1.3528794921740805,Unf,-0.3596623231834907,1.6386767569324894,1494,GasA,Ex,Y,SBrkr,0.9652273458697819,-0.8700861080477102,0,0.11943380438314559,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,0.3816715965875489,RFn,3,840,TA,TA,Y,1.0247103752473303,0.5606949802045049,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,8,2007,New,Partial,1,-1.5729704126478672,0,0.6294555386134622,2.0,0.3669327483530664,12.54076114938842
20,RL,0.0,9.298442820197728,Pave,<None>,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,1.2483241676866081,TA,TA,CBlock,TA,TA,No,BLQ,0.8262870893279862,Unf,-0.3596623231834907,0.14235412118240115,1253,GasA,TA,Y,SBrkr,0.40647321344038284,-0.8700861080477102,0,-0.41177335446861857,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,0.14593295936784695,RFn,1,352,TA,TA,Y,-0.9490260586845501,1.4380714516447406,2.4538489352043817,0,-0.2940036598327685,0,<None>,GdWo,<None>,0,5,2008,WD,Normal,48,0.5250572105819146,48,0.029851093658618,2.5,1.1612909505575253,11.964007453736912
45,RM,51.0,8.71948076085107,Pave,<None>,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,-0.8171343255986645,TA,TA,BrkTil,TA,TA,No,Unf,-1.3528794921740805,Unf,-0.3596623231834907,0.7180620066911517,832,GasA,Ex,Y,FuseA,-0.81352722044011,-0.8700861080477102,0,-1.546892605334549,0,0,1,0,2,1,TA,5,Typ,0,<None>,Detchd,0.30399850393684785,Unf,2,576,TA,TA,Y,0.6319300992843311,1.1314106824337595,-0.40792062110509075,0,-0.2940036598327685,0,<None>,GdPrv,<None>,0,7,2007,WD,Normal,78,-0.11380886792176724,6,-1.1907950185478207,1.0,0.19148488508963418,11.790564777297387
20,RL,0.0,9.32741204356202,Pave,<None>,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,1.2175357736850985,TA,TA,CBlock,TA,TA,No,ALQ,0.677872270729457,Unf,-0.3596623231834907,-0.06585318672597892,1004,GasA,Ex,Y,SBrkr,-0.2981872604945323,-0.8700861080477102,0,-1.0714999215659489,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,0.19656047503613358,Fin,2,480,TA,TA,Y,-0.9490260586845501,-1.0703598832348913,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,Shed,700,3,2010,WD,Normal,40,0.4210415368309103,40,-0.6736924571197548,2.0,-1.7028482440615262,11.91170829631447
90,RL,72.0,9.286560397887591,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,-0.8171343255986645,TA,TA,Slab,<None>,<None>,<None>,<None>,-1.3528794921740805,<None>,-0.3596623231834907,-2.0634069816011356,0,GasA,TA,Y,SBrkr,0.5136990969559736,-0.8700861080477102,0,-0.31039214985213287,0,0,2,0,2,2,TA,6,Typ,0,<None>,CarPort,0.1813361323684345,Unf,2,516,TA,TA,Y,-0.9490260586845501,-1.0703598832348913,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,Shed,500,10,2006,WD,Normal,39,0.40652118210749055,39,-1.9108008818671032,2.0,-1.7028482440615262,11.407576060361786
20,RL,66.0,9.524859098381523,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,-0.8171343255986645,TA,TA,PConc,TA,TA,No,GLQ,0.7463397493106708,Unf,-0.3596623231834907,0.029895403698097234,1114,GasA,Ex,Y,SBrkr,0.032618268832611416,-0.8700861080477102,0,-0.7631931089356526,1,0,1,1,3,1,Gd,6,Typ,0,<None>,Detchd,0.3712702419788715,Unf,2,576,TA,TA,Y,-0.9490260586845501,1.0871003001508164,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,6,2008,WD,Normal,4,-0.9191463733376205,4,-0.3504596035284215,2.5,-0.17678726522558386,11.976665770490769
20,RL,70.0,8.93075873555827,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,-0.8171343255986645,TA,TA,CBlock,TA,TA,No,LwQ,0.5959324381532098,Unf,-0.3596623231834907,0.15284797771218944,1029,GasA,TA,Y,SBrkr,0.6174008272511974,-0.8700861080477102,0,-0.2120915215569613,0,0,1,0,3,1,TA,6,Min1,0,<None>,Attchd,0.1358486785665237,Unf,1,294,TA,TA,Y,-0.9490260586845501,-1.0703598832348913,-0.40792062110509075,0,-0.2940036598327685,0,<None>,MnPrv,<None>,0,5,2009,COD,Abnorml,51,0.5594222484204049,44,-0.15534272448705322,1.0,-1.7028482440615262,11.842236406331557
60,RL,101.0,9.562123369834488,Pave,<None>,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.3487504978260687,Gd,TA,PConc,Ex,TA,Av,Unf,-1.3528794921740805,Unf,-0.3596623231834907,1.2066625666970572,1158,GasA,Ex,Y,SBrkr,0.15581604984095904,1.2380430151026196,0,1.5522578975238883,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,0.3764691893871889,RFn,3,853,TA,TA,Y,1.1496264971172465,1.2828969132778452,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,11,2006,New,Partial,1,-1.5729704126478672,0,1.2376276678877989,3.5,1.1780638953889884,12.692506186542175
45,RM,57.0,8.915969311373605,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,-0.8171343255986645,TA,TA,PConc,TA,TA,No,Unf,-1.3528794921740805,Unf,-0.3596623231834907,0.375374634013533,637,GasA,Ex,Y,FuseF,0.015440055569450526,-0.8700861080477102,0,-0.77926396260169,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,-0.003891757151061355,Unf,1,280,TA,TA,N,-0.9490260586845501,-1.0703598832348913,2.454208954424435,0,-0.2940036598327685,0,<None>,GdPrv,<None>,0,6,2007,WD,Normal,77,0.7898201726804517,57,-1.09156414953874,1.0,0.42640435199350185,11.84510995088398
20,RL,75.0,9.184304357425342,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,1.298582288758696,Gd,TA,PConc,Gd,TA,No,Unf,-1.3528794921740805,Unf,-0.3596623231834907,1.963961696064586,1777,GasA,Ex,Y,SBrkr,1.5474823836624805,-0.8700861080477102,0,0.6807162185121808,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,0.36088272423005974,RFn,2,534,TA,TA,Y,1.0454536768960323,1.2981453394649145,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,9,2008,WD,Normal,6,-0.6902261344556181,6,1.2776328643760142,2.0,0.9531754789409819,12.345838935721968
120,RM,44.0,8.348774539791274,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,-0.8171343255986645,TA,TA,PConc,Gd,TA,No,GLQ,0.9151686387861134,Unf,-0.3596623231834907,-0.6990251561764529,1040,GasA,TA,Y,SBrkr,-0.12545512343140913,-0.8700861080477102,0,-0.9108242061181031,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,0.22710204210844584,Unf,2,572,TA,TA,Y,0.8751970014848166,1.122867334084935,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,6,2007,WD,Normal,31,0.27406313167405116,31,-0.5358809968237029,2.0,0.450591730431615,11.774527900858468
20,RL,0.0,9.017604776833355,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,-0.8171343255986645,TA,Gd,CBlock,TA,TA,Mn,Rec,0.07725209952123856,ALQ,2.781511739881433,-0.6851662241428685,1060,GasA,Ex,Y,SBrkr,-0.12545512343140913,-0.8700861080477102,0,-0.9108242061181031,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,0.18640747474981995,Unf,1,270,TA,TA,Y,1.3059812445894468,1.027938036630741,-0.40792062110509075,0,-0.2940036598327685,0,<None>,MnPrv,<None>,0,5,2010,WD,Normal,42,0.44897230898831986,9,-0.5064384552552567,2.0,1.4964791413093297,11.944714374881176
20,RL,110.0,9.56317796268366,Pave,<None>,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,1.4271852088682262,Gd,TA,PConc,Gd,TA,No,Unf,-1.3528794921740805,Unf,-0.3596623231834907,1.7243247377799364,1566,GasA,Ex,Y,SBrkr,1.1827611680407955,-0.8700861080477102,0,0.32820224419308747,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,0.3868774641567882,RFn,3,890,TA,TA,Y,-0.9490260586845501,0.8052596629938167,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,7,2009,WD,Normal,2,-1.2780412414318947,2,0.8350493292888674,2.0,-0.5691969421206252,12.454107814022272
20,RL,60.0,8.881975184248867,Pave,<None>,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,-0.8171343255986645,TA,TA,CBlock,TA,TA,Mn,BLQ,0.18229580739702128,Rec,2.7814125437367347,-0.7706159744532468,900,GasA,TA,Y,SBrkr,-0.6463845508457764,-0.8700861080477102,0,-1.3933560137112162,0,1,1,0,3,1,Gd,5,Typ,0,<None>,Detchd,0.3764691893871889,Unf,2,576,TA,TA,Y,1.1259014857215857,0.5466088629969491,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,5,2010,WD,Normal,59,-0.7943788446665072,10,-1.000986401014364,1.5,0.6504554787656773,11.811554895830454
20,RL,98.0,9.348274558065496,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,1.237498638609764,Gd,TA,PConc,Ex,TA,No,GLQ,1.1722852326583046,Unf,-0.3596623231834907,0.06953710315091992,1704,GasA,Ex,Y,SBrkr,1.3825196914400097,-0.8700861080477102,0,0.520887178146012,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,0.3920867926715526,RFn,3,772,TA,TA,Y,-0.9490260586845501,0.752491103340874,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,5,2010,WD,Normal,3,-1.2780412414318947,2,1.1029636578319975,3.0,-0.6326513476520874,12.631343648903034
20,RL,47.0,9.700269170029188,Pave,<None>,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,-0.8171343255986645,TA,TA,CBlock,TA,TA,Gd,BLQ,1.2066330632565452,Unf,-0.3596623231834907,-0.6748656823805552,1484,GasA,TA,Y,SBrkr,1.1827611680407955,-0.8700861080477102,0,0.32820224419308747,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,0.13081168715190272,RFn,1,319,TA,TA,Y,1.2045657691779545,1.5301577603423129,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,12,2006,WD,Normal,49,0.536757965849232,9,0.7412872134568789,2.0,1.638746276779244,12.242891437918386
30,RM,60.0,8.752265313595721,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,-0.8171343255986645,TA,TA,BrkTil,TA,TA,No,Unf,-1.3528794921740805,Unf,-0.3596623231834907,0.14235412118240115,520,GasA,Fa,N,SBrkr,-2.3968067376050857,-0.8700861080477102,0,-2.9709134405974282,0,0,1,0,1,1,Fa,4,Typ,0,<None>,Detchd,-0.053149348220352444,Unf,1,240,Fa,TA,Y,0.6389180114436521,-1.0703598832348913,2.450699098679898,0,-0.2940036598327685,0,<None>,<None>,<None>,0,5,2008,WD,Normal,81,0.8632717657920492,58,-2.463278457883653,1.0,0.050333246517269545,11.134603622683905
70,C (all),50.0,9.04793908261736,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,-0.8171343255986645,TA,Fa,BrkTil,TA,TA,No,Unf,-1.3528794921740805,Unf,-0.3596623231834907,0.3979452577341981,649,GasA,TA,N,SBrkr,-1.6889702244132498,1.1249494376262592,0,-0.26201208135838555,0,0,1,0,3,1,TA,6,Typ,0,<None>,Detchd,-0.053149348220352444,Unf,1,250,TA,Fa,N,-0.9490260586845501,0.7883066790621045,2.4537876661987905,0,-0.2940036598327685,0,<None>,MnPrv,<None>,0,7,2008,WD,Normal,88,0.8632717657920492,58,-0.7379586582936233,1.0,0.525835480553765,10.59665973278358
20,RL,0.0,9.053101595549691,Pave,<None>,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,-0.8171343255986645,TA,TA,CBlock,TA,TA,No,Unf,-1.3528794921740805,Unf,-0.3596623231834907,1.3016426701423403,1228,GasA,Gd,Y,SBrkr,0.34241588204037776,-0.8700861080477102,0,-0.4722132058583328,0,0,1,1,3,1,Gd,6,Typ,0,<None>,Attchd,0.17626822771599623,Unf,1,271,TA,TA,Y,-0.9490260586845501,0.8749151817556768,-0.40792062110509075,0,-0.2940036598327685,0,<None>,MnPrv,<None>,0,6,2008,WD,Normal,42,0.44897230898831986,2,-0.03647186252951127,1.5,-0.4808846984930847,11.914054519303123
