Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
48,14834232,wuxianaisai,"2025-12-06 15:36:23",0.00044,6,nicksev
49,14947682,"GOWRISANKAR R","2025-12-11 03:53:49",0.00044,1,gowrisankar577
50,14948622,AlexDF1234,"2025-12-11 09:32:50",0.00044,4,alexdf1234
51,14370503,ufukk,"2025-12-20 18:06:18",0.00044,3,ufukckose
52,14966387,"M.N. Mohamed Aman","2025-12-18 15:14:35",0.00044,5,mnmohamedaman
53,14530244,PrtkPiyush,"2025-12-19 04:31:23",0.00044,3,prtkpiyush
54,15002236,"BV PROPERTY","2025-12-20 14:43:44",0.00044,1,bvproperty
55,14635014,YXJ0407,"2025-10-31 07:59:52",0.00537,3,yxj0407
56,14654782,"HU KAIYANG","2025-11-13 03:55:32",0.01587,8,hukaiyang
57,14716489,YoungJack,"2025-11-13 04:10:52",0.01587,3,youngjack7038
58,14631224,yexugang,"2025-11-13 04:31:50",0.01587,6,yexugang
59,12556749,jevin123,"2025-11-12 02:13:37",0.01944,1,jevin123
60,14602152,"Vismita Tej","2025-11-19 11:46:15",0.03623,34,vismitatej
61,14337208,VAIBHAV,"2025-11-19 15:01:23",0.03806,28,kraken2412
62,14384372,"Robert Myers II","2025-11-23 18:41:59",0.04954,14,robertmyersii
63,14472655,"Jean Jin528","2025-11-05 09:25:56",0.05179,10,jeanjin528
64,14655379,rand(),"2025-11-10 15:14:35",0.05552,7,g25hitsz
65,14824936,WhyName,"2025-11-24 06:40:48",0.05903,2,whyname1103
66,14654383,"Self join.1","2025-11-12 17:22:55",0.06870,10,selfjoin1
67,7177380,"Pablo Mas","2025-12-20 13:30:23",0.07389,2,pablomas
68,14787932,c798555,"2025-11-19 06:37:37",0.08556,4,c798555
69,14790697,岁月如梭,"2025-11-20 13:45:18",0.08556,6,h1132341543
70,14813872,"Hanish Kumar Data","2025-11-22 11:57:00",0.08556,6,hanishkumardata
71,14820190,czc12345,"2025-11-23 12:13:15",0.08556,1,czc12345
72,14655232,User_088765,"2025-11-05 10:25:29",0.10263,11,user088765
73,14941755,wcy_toki,"2025-12-15 17:08:13",0.10646,13,wcytoki
74,14351458,"Tony Wang #3","2025-11-11 10:05:34",0.10939,15,cylrxx
75,4467708,"Carl McBride Ellis","2025-12-18 15:37:46",0.10979,2,carlmcbrideellis
76,14812851,"Matthew Li #2","2025-12-01 05:33:35",0.10985,17,matthewover137
77,14666848,DataMiners(4204),"2025-11-05 12:32:37",0.11009,4,jin528
78,14481938,"Xuan Zhang","2025-11-22 08:46:57",0.11024,6,xuanzhang001
79,14843126,"[Deleted] b0dfe0b6-b720-420e-a020-568b0aa1eb6c","2025-11-26 14:28:51",0.11055,8,del=81b45b3253bd545d
80,14384323,"Pedro Chumpitaz","2025-11-26 14:29:47",0.11055,25,pedrochumpitaz
81,13887598,"Sam Green 2046","2025-11-22 06:37:53",0.11058,7,samgreen2046
82,15001350,"yihui ding123","2025-12-20 16:13:36",0.11255,9,yihuiding123
83,14339125,USC20234080111,"2025-12-16 11:06:08",0.11287,6,wyb1201
84,14932513,dtbkelly,"2025-12-08 22:11:31",0.11298,1,dtbkelly
85,14777150,No_Pytorch,"2025-11-18 08:32:17",0.11403,1,nopytorch
86,12711698,李BCDEFGA,"2025-11-07 17:09:07",0.11436,4,bcdefga
87,14849143,"Yitao Ma","2025-12-10 08:36:15",0.11464,14,mayitao
88,14339119,"DU Hao Qian","2025-11-08 11:34:01",0.11472,24,duhaoqian
89,14439133,"Ange Gabriel Iliès Yvain ONANGA OUKKAL","2025-11-21 16:19:31",0.11518,60,angegabrielilisyvain
90,14475918,"Mauro Sempere Sanz 2nd Account","2025-11-26 15:19:49",0.11548,149,maurosemperesanz2
91,14384386,"Mauro Sempere Sanz","2025-11-23 00:08:29",0.11548,43,"adamj79,maurosemperesanz"
92,14707132,"Olivia Yung","2025-11-11 09:56:29",0.11570,10,oliviayung
93,14681289,DM_gp9E,"2025-11-11 11:12:52",0.11570,27,"j1myang,yimsinmei"
94,14588801,"Glenn Dalbey","2025-10-30 00:01:18",0.11573,79,glenndalbey
95,14478395,"Muhammad Umer #7","2025-11-14 16:27:25",0.11603,4,mumertahirubitku
96,14371155,"life is bad","2025-11-13 12:56:48",0.11607,9,gyxxxc
97,14476869,"Vignesh Srinivasan","2025-11-26 07:00:48",0.11611,23,vignesh5500
98,14964637,demialenzo,"2025-12-17 14:56:12",0.11617,11,demialenzo
99,14431890,"Smith The","2025-12-19 08:04:01",0.11621,32,smiththe
100,14988865,USC20234080114,"2025-12-18 04:32:58",0.11621,1,usc20234080114
101,14711081,MariiaGmail,"2025-11-22 17:15:49",0.11628,47,mariiagmail
102,14683920,"Mariia Makhonina","2025-11-22 17:01:38",0.11631,47,mariiamakhonina1
103,14121659,Kostya138,"2025-12-06 16:04:56",0.11634,21,kostya138
104,14942607,harristran166,"2025-12-11 09:55:02",0.11634,7,harristran166
105,14713059,Usagi_polyu,"2025-11-13 15:49:34",0.11638,1,sxc66666
106,14554075,saladifier,"2025-10-30 22:46:32",0.11640,29,saladifier
107,14624404,"Elliot Slusky","2025-11-14 20:19:30",0.11641,14,elliotslusky
108,14513549,doduyquy.nii,"2025-11-03 15:35:17",0.11641,43,"doduyquynii,irthn1311,lhngphc,pha1t2"
109,14442226,"Haoming there","2025-11-01 11:04:39",0.11643,10,haomingthere
110,14894981,kilohanayoung,"2025-12-09 13:15:46",0.11656,12,kilohanayoung
111,14570063,Angelssc,"2025-11-27 12:40:09",0.11658,71,angelssc
112,14723306,Rokewiriw,"2025-11-26 22:22:46",0.11659,3,rokewiriw
113,14631697,"Gao Ruiyan","2025-11-11 06:23:28",0.11662,14,gaoruiy
114,14614755,"ZHANG RUQING","2025-10-31 18:34:28",0.11663,4,zhangruqing
115,14394173,ccook022,"2025-12-03 21:12:29",0.11664,2,ccook022
116,14714256,Jet2_holiday_4204,"2025-11-12 09:38:45",0.11675,1,jet2holiday4204
117,14814800,Victorzhu04,"2025-11-26 11:18:30",0.11677,32,victorzhu04
118,14744292,LiPeilin,"2025-11-26 12:00:50",0.11682,35,l1peilin
119,14281369,Issac101,"2025-11-07 14:35:07",0.11686,10,issac101
120,14531014,"zhuohang zhu","2025-12-15 16:34:22",0.11698,32,zhuohangzhu
121,14930690,USC20234080216,"2025-12-16 15:27:35",0.11698,6,usc20234080216
122,10128906,liyujiashenzhan,"2025-12-10 15:25:46",0.11703,1,liyujiashenzhan
123,14842898,"[Deleted] f3fabd92-b3a8-4d98-8c14-9f84937fc114","2025-11-26 13:29:56",0.11719,6,del=90d280d23867f2a9
124,12735156,wanglazhu,"2025-12-02 03:10:28",0.11720,4,wanglazhu
125,14842864,"[Deleted] 6e4683e8-acb3-41bb-b496-ca2582baab41","2025-11-26 13:26:47",0.11721,10,del=9ba77d6c7ce39d84
126,14623057,"Huỳnh Anh Nhựt","2025-11-13 05:22:12",0.11723,37,hunhanhnht
127,14704524,LZZZzzzj,"2025-11-13 09:39:17",0.11724,5,lzzzzzzj
128,14635636,"Chan Sheung Yuen","2025-10-31 08:01:14",0.11725,8,chansheungyuen
129,14427441,cjhbfys,"2025-11-19 00:35:07",0.11729,5,cjhbfys
130,11158516,rkassila,"2025-11-29 08:07:32",0.11730,11,rkassila
131,14566195,"Vishal Abbhinand","2025-11-03 14:34:41",0.11734,2,vishalabb
132,14763646,"Dzaky Hilmy","2025-11-18 13:37:14",0.11735,2,dzakyhilmy
133,14910325,lifeihong,"2025-12-06 07:27:44",0.11735,1,lifeihong0325
134,14431758,Vigneshs10,"2025-11-30 06:15:37",0.11736,69,vigneshs10
135,14824677,"Yang Chen #3","2025-11-24 05:25:00",0.11738,1,yangchen4805
136,14854559,"王奥楠 王晴晴","2025-11-29 16:51:39",0.11739,9,wangqingqing2025
137,14842832,"[Deleted] 5408c95d-3e12-4fd7-91a3-cd50eb5844c0","2025-11-26 13:23:00",0.11740,10,del=d86679e98467d063
138,8601334,Laszlore,"2025-10-31 17:10:08",0.11743,1,laszlore
139,14816565,"Chen Yang #3","2025-12-14 13:48:34",0.11744,5,yc4805
140,14394537,TOP_TEAM,"2025-11-07 08:21:53",0.11744,14,"alvinchen66,jminris5,zhou79"
141,14786486,guojunyang678,"2025-11-19 02:53:54",0.11744,1,guojunyang678
142,14781202,葛帅林GSL,"2025-11-19 11:55:07",0.11744,3,gsl123
143,14924740,"[Deleted] 6f700a1a-b892-4310-8dd6-d1d1187bd43d","2025-12-17 05:26:18",0.11744,5,del=99a9d72fffd0f295
144,14986453,swlqwe,"2025-12-18 03:11:58",0.11744,1,swlqwe
145,14476086,aaTrial2,"2025-11-26 16:11:22",0.11750,95,aatrial2
146,13967738,Nagisa1998,"2025-12-09 03:40:06",0.11755,83,nagisa1998
147,14652655,"Elena Genova","2025-11-11 07:57:10",0.11755,28,symlink7
148,14659211,AmazingPyTeam6084,"2025-11-16 05:10:41",0.11756,9,"gengyiqian,liuyufei111,lixuanyi5896,scarlettwillowgreen"
149,14646520,"i go to school by mtr","2025-11-05 06:37:56",0.11757,19,kayeehung
150,14662408,CrazyG,"2025-11-07 13:42:40",0.11757,10,"fungchunwang,kellydjung,kimlai1217"
151,14294857,"Punyapat Jaisuk","2025-11-15 18:41:20",0.11758,7,"p4y1zf09knl3,punyapatjaisuk,ratthaphumsongphrom"
152,14424391,捏捏鱼鱼,"2025-12-17 02:39:43",0.11760,28,qqqyyy03
153,14988476,usc20234080218,"2025-12-18 02:41:37",0.11761,6,usc20234080218
154,14384574,"Renu Singh Parihar","2025-11-26 03:55:47",0.11762,14,"apoorbabose30,renusinghparihar"
155,14674735,"Feelings VR Team","2025-11-07 10:39:23",0.11763,2,wanbryan
156,14359826,"Liu Xiaoting","2025-12-20 01:09:31",0.11767,51,xixi0224
157,2237049,mrbrown,"2025-12-03 08:08:19",0.11770,3,mcs999
158,14614736,Riven2939,"2025-10-31 05:05:53",0.11770,20,riven2939
159,14919224,hengfeiwang2,"2025-12-20 03:03:19",0.11772,18,hengfeiwang2
160,14240767,CSC345,"2025-11-17 06:43:06",0.11775,11,"han21400,saizawoo"
161,14795038,Why,"2025-11-27 01:50:37",0.11777,29,lapolic
162,14967649,Chen030821,"2025-12-14 14:01:55",0.11778,1,chen030821
163,14900979,ZilinLai000,"2025-12-09 10:01:21",0.11780,23,zilinlai000
164,14936821,USC20234080408,"2025-12-10 06:46:22",0.11780,5,usc20234080408
165,14601481,baokhang,"2025-11-10 12:18:41",0.11782,1,baokhang9021
166,14222184,"Ye Thu","2025-11-17 13:09:16",0.11784,18,yethukmutt
167,14874633,"Flake User","2025-12-03 08:40:58",0.11784,28,flakeuser
168,14875810,"Nix Flake","2025-12-02 00:28:29",0.11784,11,nixflake
169,14521310,kakapt,"2025-12-02 09:55:30",0.11784,27,kakapt
170,14709248,"Thành Nguyễn #8","2025-12-02 08:33:55",0.11784,22,nupaakachii
171,14872823,"nix user","2025-12-04 14:28:54",0.11784,13,nixuser
172,14677349,OSU-25-13814,"2025-11-18 07:32:42",0.11785,20,zhanwenj
173,14729337,OSU-25-22800,"2025-11-18 07:47:50",0.11788,22,feikeng314
174,14846489,"cjin cjin","2025-11-27 05:32:25",0.11788,6,cjincjin
175,7820142,"Lovro Selic","2025-10-26 08:13:34",0.11789,1,lovroselic
176,14442639,"Linxi He111","2025-11-12 03:32:51",0.11792,12,linxihe111
177,14997970,"Mohamed Amr","2025-12-20 19:57:18",0.11793,1,mohamedamrabdelkawy
178,14751850,OSU-25-86430,"2025-11-18 05:38:55",0.11793,13,seandoy
179,14458429,aaahannah,"2025-11-02 05:43:53",0.11794,5,aaahannah
180,14649029,Sway331,"2025-11-03 13:36:57",0.11796,11,sway331
181,14564229,"Nikita #22","2025-11-24 13:27:54",0.11800,17,nofancy
182,14853215,"Anar Battsengel","2025-12-05 04:44:27",0.11802,10,anarbattsengel
183,14670145,OSU-25-29189,"2025-11-17 05:07:42",0.11803,44,rachelx000
184,14345066,kkkeng,"2025-12-09 12:29:14",0.11804,6,kkkeng
185,14384388,IJustinStutler,"2025-11-19 23:06:41",0.11804,30,ijustinstutler
186,14533149,"Rafael Augusto","2025-10-31 02:26:09",0.11805,14,rafaelaugusto07
187,8800242,"Federico Griggio","2025-12-18 13:28:01",0.11805,8,federicogriggio
188,14730315,OSU-25-08149,"2025-11-18 05:00:39",0.11805,11,traviswhitney
189,14677609,OSU-25-21542,"2025-11-16 04:49:59",0.11806,31,minghuat
190,14565122,qwe6037,"2025-10-22 08:14:31",0.11808,9,qwe6037
191,14861333,Zeyvwa,"2025-11-30 06:39:07",0.11809,1,zeyvwa
192,14431923,"HF W","2025-12-19 18:49:37",0.11813,32,hengfwang
193,14925030,yiyu2345467,"2025-12-18 05:29:06",0.11813,4,yiyu2345467
194,13986431,"Kaustuk Pratap Singh","2025-12-08 17:46:35",0.11813,1,kaustukpratapsingh
195,14682500,OSU-25-00177,"2025-11-17 21:57:07",0.11815,24,yihuanwu
196,14318333,"Branny Bear","2025-11-14 00:49:22",0.11815,1,brannybear
197,14559733,1234432523,"2025-10-30 14:18:35",0.11822,6,kelvin129
198,14963702,"zhuo xu1","2025-12-15 01:13:13",0.11823,1,zhuoxu1
199,14456910,Coincidence,"2025-11-01 04:58:34",0.11827,9,coincidental
200,14897981,"[Deleted] 1a59d49e-5092-4884-9299-ef3aa5be1b56","2025-12-10 02:51:04",0.11827,3,del=0cecaa51f2cd001a
201,14542943,Lora,"2025-11-12 14:13:06",0.11827,5,linziluo12
202,14661953,OSU-25-90623,"2025-11-18 00:45:03",0.11827,14,leed24
203,14626192,"JASWANTH REDDY G","2025-11-20 22:51:44",0.11829,15,jaswanthreddyg
204,14384385,Krishna2056,"2025-11-26 02:52:24",0.11829,47,krishna2056
205,14818963,Jinc,"2025-11-29 08:28:45",0.11832,1,jincii
206,14765674,"[Deleted] 8db10e59-c0f8-4abb-a6f0-114c91ca8c7a","2025-11-17 16:08:57",0.11833,4,del=cbb334e55f136e84
207,14242811,Thompson,"2025-11-15 09:28:43",0.11833,1,"akarikyawthein,ant227,danielbawmying,thawzinmoemyint"
208,14859137,shirley1923,"2025-11-30 04:02:52",0.11833,4,shirley1923
209,14727114,"Tô Gia Huy","2025-11-13 16:33:06",0.11833,1,togiahuy2512
210,14830983,YunHyukJoon,"2025-12-03 08:57:21",0.11833,26,yunhyukjoon
211,14915699,"emre tarran","2025-12-14 02:05:11",0.11833,5,emretarran
212,14675671,"lemo yiwen","2025-11-08 15:33:36",0.11838,22,lemoyiwen
213,13171747,"KORI Toshinari","2025-12-20 23:32:51",0.11838,103,koritoshinari
214,14847034,wangfangmin,"2025-11-28 12:22:51",0.11839,8,wangfangmin
215,14699698,OSU-25-67606,"2025-11-16 20:24:17",0.11840,13,loughinc
216,14677451,OSU-25-87688,"2025-11-18 07:22:14",0.11841,10,byronmagofna
217,12413931,"Vitor Meurer Besen","2025-11-22 16:25:10",0.11841,2,vitormeurerbesen
218,13327615,RayMoA,"2025-10-22 20:00:06",0.11843,5,raymoa
219,10648977,"Adam Golledge","2025-12-07 22:28:54",0.11843,30,adamgolledge1
220,14475635,"Muhammad Farhan #5","2025-11-03 19:52:36",0.11847,8,farhan943
221,14334282,dadafasv,"2025-12-08 04:39:56",0.11849,9,dadafasv
222,14372489,"just hang","2025-12-12 07:11:31",0.11851,20,justhang
223,14614604,wwwwwwwwwwwwwwwwu,"2025-10-31 04:09:57",0.11852,12,ruiyangao
224,14719341,OSU-25-39584,"2025-11-13 21:51:19",0.11855,5,akashx29
225,14746261,OSU-25-73590,"2025-11-17 13:33:29",0.11858,6,yihochang
226,14614307,hbhbbkjbk,"2025-12-20 11:55:34",0.11858,90,hbhbbkjbk
227,12040567,"Prithvi P Reddy","2025-10-31 07:47:40",0.11859,1,prithvipreddy
228,14629622,yhGao,"2025-10-30 08:35:56",0.11860,1,gaoyonghang
229,14995570,onone,"2025-12-19 06:01:14",0.11861,1,onone27
230,14899623,virding,"2025-12-14 12:45:34",0.11862,7,virding
231,14526063,"Farhan Touqeer","2025-10-29 04:43:02",0.11862,2,farhantouqeer
232,14821830,CaTTTTT,"2025-11-27 06:54:59",0.11864,10,origincat
233,12852947,"Shinichi Nakamura","2025-12-09 07:30:16",0.11866,38,westnews
234,14716647,OSU-25-89420,"2025-11-16 07:07:01",0.11866,10,matthewmclarke
235,14726527,"Huy Trương","2025-11-13 15:18:54",0.11866,2,hatismn
236,14796336,USC20234080409,"2025-11-20 13:36:34",0.11866,6,usc20234080409
237,14465747,"Muhammad Nouman #2","2025-11-04 18:19:06",0.11867,10,noumandatascience
238,14988542,"by a","2025-12-18 08:03:05",0.11869,7,byaaby
239,14968711,"Harper Chu","2025-12-15 14:26:13",0.11872,2,harperchu
240,14558640,Galaxy6137,"2025-12-16 07:57:14",0.11874,15,"djstrobe,galaxy1919,gardenia1899,yorha666"
241,14889177,MYusufAl,"2025-12-05 19:50:40",0.11875,14,myusufal
242,14913771,"Rumia #2","2025-12-08 09:14:41",0.11877,8,rumia0
243,14647235,yangruixin,"2025-11-02 12:15:27",0.11878,10,exrainy
244,14570678,PYNEU6182,"2025-11-24 13:27:34",0.11880,42,"irisyu0628,ppeisiqi,xuruoyang,zhang1939"
245,14741959,"Yuyang Zhao","2025-11-23 13:07:24",0.11883,8,yuyangzqcqwd211whao
246,14705656,"DSAI4204 Gold Miner","2025-11-13 10:13:16",0.11884,16,richardf1234
247,14537542,a1waysLong,"2025-10-24 07:04:54",0.11887,13,a1wayslong
248,14650409,CSE404FS25QKDJV,"2025-12-11 15:36:37",0.11888,39,cse404fs25qkdjv
249,14905423,"Alexander Stepulenok","2025-12-09 13:18:56",0.11889,8,alexanderstepulenok
250,14318989,Jackson082503,"2025-11-17 08:08:53",0.11890,2,jackson082503
251,14777327,"Khaing Zin Than","2025-11-18 08:11:06",0.11893,1,khaingzinthan2228
252,14371106,"Fang Chuming","2025-11-11 05:44:46",0.11895,28,fangchuming
253,14557870,"qq cc123","2025-11-24 12:20:27",0.11895,17,qqcc123
254,14638225,Sanya_Shah2005,"2025-11-01 15:52:35",0.11895,15,sanyashah2005
255,14533108,"Harry otavio","2025-12-19 21:02:06",0.11895,19,harryotavio
256,14539532,lpnnnn,"2025-12-18 09:32:27",0.11895,17,lpnnnn
257,14988638,usc20234080102,"2025-12-18 03:15:42",0.11895,1,usc20234080102
258,12416952,"YOSHINORI  ORIHARA","2025-10-29 13:17:17",0.11896,5,yoshinoriorihara
259,14705772,"Fang Chuming123","2025-11-11 06:11:01",0.11897,1,fangchuming123
260,14419600,cuitongzhou,"2025-12-20 08:32:13",0.11897,14,cuitongzhou
261,14971338,QWEASD283811,"2025-12-15 09:08:20",0.11897,1,qweasd283811
262,14840828,Chencici154,"2025-11-30 06:33:10",0.11897,1,chencici154
263,14853161,"asura jims","2025-11-28 05:51:03",0.11898,5,asurajims
264,5911846,"Javier Reinoso","2025-11-16 15:20:15",0.11898,1,javierreinoso
265,14708690,"Stave Osias","2025-11-16 13:43:10",0.11899,2,staveosias
266,14859224,谷尹沭人,"2025-12-11 04:33:29",0.11899,16,guyinshuren
267,14970673,USC20252010210825,"2025-12-17 12:36:18",0.11899,30,usc20252010210825
268,14819399,E.Y.Yuan,"2025-11-26 05:56:11",0.11901,1,eyyuan
269,14975430,linunnb,"2025-12-16 03:24:56",0.11902,10,linunnb
270,14551956,"Viet Do Quoc","2025-11-13 11:44:38",0.11903,37,vietdoquoc
271,14675481,"Phạm Minh Dương","2025-11-12 12:52:27",0.11903,2,phmminhdng
272,14948623,"Simon Flasaquier","2025-12-11 09:55:55",0.11906,3,simonflasaquier
273,14971952,linxusss,"2025-12-16 02:58:37",0.11906,20,linxusss
274,14983930,sudo2234,"2025-12-18 08:13:27",0.11907,3,sudo2234
275,14370009,AntoMonfo,"2025-11-12 22:07:33",0.11908,19,antomonfo
276,14726500,TLsohandsome,"2025-11-13 17:35:01",0.11909,10,tlsohandsome
277,14727577,Pr_lolal,"2025-11-13 17:53:32",0.11909,4,prlolal
278,14725887,lkmkli,"2025-11-13 19:40:48",0.11909,10,lkmkli
279,14705670,hajimi,"2025-11-14 05:42:49",0.11909,29,"pretenderkew,soyutsai,terrencelwh"
280,14977556,Keng3x,"2025-12-17 04:09:11",0.11910,5,keng3x
281,14743694,ArisugawaNatsuha,"2025-11-17 04:48:56",0.11911,11,arisugawanatsuha
282,14725448,BBB321,"2025-11-13 15:01:45",0.11913,10,bbb321
283,14831036,imdokyun,"2025-12-03 12:09:52",0.11913,7,qwerasdfewqgsgsaf
284,14339035,"machine not  learning","2025-11-12 13:22:57",0.11915,26,anitay1216
285,14728239,Tanvi_Maheshwari1215,"2025-11-14 05:19:35",0.11916,3,tanvimaheshwari1215
286,14846087,sooio,"2025-11-28 14:21:19",0.11916,8,sooiio
287,14777595,"Assem muhammad","2025-12-02 00:44:36",0.11918,9,assemmuhammad
288,14971709,linxusd,"2025-12-16 02:39:45",0.11919,20,linxusd
289,14838937,Sal_Dhun,"2025-11-26 15:47:34",0.11920,7,saldhun
290,14830978,kimnahyun,"2025-11-30 10:01:58",0.11920,10,kimnahyun1116
291,14568826,"bulan scythe","2025-10-26 08:37:21",0.11923,1,bulanscythe
292,14796977,USC20234080413,"2025-12-10 06:40:13",0.11925,18,usc20234080413
293,14726285,Ryms,"2025-11-21 14:46:17",0.11927,26,ryms2007
294,14941418,jpoole1111,"2025-12-10 09:09:47",0.11928,4,jpoole1111
295,14711643,Galexycyx,"2025-11-27 09:02:57",0.11928,22,galexycyx
296,14362133,USC20234080323,"2025-12-17 10:32:29",0.11928,11,usc20234080323
297,14431803,HaloLiu,"2025-12-20 03:03:49",0.11928,8,haloliu
298,14279386,wangguoqihust,"2025-12-17 14:48:17",0.11929,50,wangguoqihust
299,14977674,xyb,"2025-12-18 09:49:13",0.11930,5,xyb0816
300,14892520,"Federica Pasquali","2025-12-14 14:32:18",0.11930,8,federica134
301,14999378,"gao fandd","2025-12-19 20:47:39",0.11933,10,gaofandd
302,14576854,"a lemon tree","2025-12-20 03:53:43",0.11933,32,alemontree
303,14999521,USC20252010210761,"2025-12-20 03:55:15",0.11933,10,usc20252010210761gf
304,14830976,강준형1,"2025-11-30 10:54:47",0.11934,9,a23124
305,13889105,"napatchol thaipanich","2025-12-19 10:05:36",0.11934,18,napatcholthaipanich
306,14601764,"Aughur AIT","2025-12-07 16:57:12",0.11935,48,aughurait
307,14752725,"Nitin #13","2025-11-16 04:44:04",0.11937,1,nitinnp
308,13914112,"Roman K","2025-11-17 23:34:36",0.11938,4,romanwr
309,3637831,"João Batista","2025-12-18 03:39:12",0.11939,5,kyrian
310,14677144,OSU-25-33506,"2025-11-16 06:14:12",0.11939,37,lengosu
311,14750352,arclxngth,"2025-11-16 06:28:12",0.11939,9,arclxngth
312,11747086,"Simon Makumi","2025-11-21 14:42:22",0.11939,5,mufasasimon
313,14267771,Edvinas23,"2025-12-18 14:47:51",0.11941,69,edvinas23
314,13834879,"SAIFUR RAHMAN #2","2025-12-15 13:37:49",0.11946,17,saifurrahmanrpd
315,14711540,WWXA,"2025-12-06 08:53:44",0.11946,2,jxjxjx1
316,14850116,ETO,"2025-11-28 18:37:48",0.11946,7,boussifabdelbasset
317,14581513,Yajin424,"2025-12-18 04:31:28",0.11946,45,yajin424
318,14845690,한지은이,"2025-12-03 13:23:03",0.11947,21,hanjieunyy
319,14646742,"Sampath Kumar Kanukolanu","2025-11-02 07:12:34",0.11951,2,knssk2810
320,14845671,Novem,"2025-12-02 14:38:15",0.11954,7,novem18
